,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,amenities,price,minimum_nights,number_of_reviews,review_score,room_type,bathroom,geometry,index_right,neighbourhood,"Rate per 100,000 population",area,nearby_attractions_count,nearby_restaurants_count,nearby_amenities_count,nearby_transportaion_count,buildings_density,restaurant_types_score,transportaion_avalibility_score,price_bins
18472,1,1,-38.13937688715033,145.285775433284,4,4.0,4.0,,273.0,1,0,0.0,0,8,POINT (145.285775433284 -38.13937688715033),12,casey,4368.7,0.04077681571350038,28,0,0,0,3,0.0,0.0,5
18502,1,1,-38.0476537,145.2935939,10,3.0,5.0,,221.0,2,0,0.0,0,8,POINT (145.2935939 -38.0476537),12,casey,4368.7,0.04077681571350038,24,5,0,0,254,0.4,0.0,4
18527,1,1,-38.12632,145.32761,2,1.0,1.0,,46.0,1,0,0.0,2,10,POINT (145.32761 -38.12632),12,casey,4368.7,0.04077681571350038,25,1,0,0,544,0.1,0.0,0
18570,1,1,-38.126142086641856,145.3335903292548,8,4.0,4.0,,208.0,2,0,0.0,0,10,POINT (145.3335903292548 -38.12614208664186),12,casey,4368.7,0.04077681571350038,20,1,2,0,151,0.1,0.0,4
18576,1,1,-38.04854656392615,145.29286276712332,10,2.0,4.0,,271.0,2,0,0.0,0,8,POINT (145.2928627671233 -38.04854656392615),12,casey,4368.7,0.04077681571350038,21,5,0,0,222,0.4,0.0,5
18651,1,1,-38.08517801846404,145.35394253436982,8,4.0,4.0,,223.0,3,0,0.0,0,8,POINT (145.3539425343698 -38.08517801846404),12,casey,4368.7,0.04077681571350038,16,0,0,0,33,0.0,0.0,4
18778,1,1,-38.08670067079553,145.34498197676692,1,3.0,3.0,,60.0,1,0,0.0,2,2,POINT (145.3449819767669 -38.08670067079553),12,casey,4368.7,0.04077681571350038,19,0,0,0,24,0.0,0.0,1
18802,0,1,-38.00556,145.30667,6,3.0,3.0,,250.0,2,0,0.0,0,5,POINT (145.30667 -38.00556),12,casey,4368.7,0.04077681571350038,26,2,2,0,633,0.1,0.0,4
3,1,1,-37.89983,145.11579,2,1.0,1.0,,117.0,2,253,4.889131581865034,0,2,POINT (145.11579 -37.89983),6,monash,5139.3,0.008346862150499994,60,5,0,0,68,0.4,0.0,2
173,1,1,-37.88433,145.15159,2,1.0,1.0,,59.0,1,9,4.490865265170724,2,4,POINT (145.15159 -37.88433),6,monash,5139.3,0.008346862150499994,51,10,4,0,316,0.3,0.0,1
185,1,1,-37.86896,145.16364,2,1.0,1.0,,88.0,1,24,4.87705985988727,2,3,POINT (145.16364 -37.86896),6,monash,5139.3,0.008346862150499994,34,20,1,0,90,0.6,0.0,1
287,1,1,-37.85919,145.09944,4,2.0,3.0,,127.0,1,388,4.876269007642507,0,2,POINT (145.09944 -37.85919),6,monash,5139.3,0.008346862150499994,45,15,0,0,129,0.6,0.0,2
343,1,1,-37.90913,145.11094,2,1.0,2.0,,91.0,2,37,4.764536120796868,2,4,POINT (145.11094 -37.90913),6,monash,5139.3,0.008346862150499994,63,27,1,0,224,0.7,0.0,1
403,1,1,-37.90717,145.11056,2,1.0,1.0,,94.0,2,44,4.6666559592774695,0,2,POINT (145.11056 -37.90717),6,monash,5139.3,0.008346862150499994,63,30,1,0,205,0.7,0.0,1
495,1,1,-37.89568,145.07857,4,2.0,2.0,,210.0,1,6,4.703911946719825,0,2,POINT (145.07857 -37.89568),6,monash,5139.3,0.008346862150499994,36,30,15,4,1063,0.8,0.16666666666666666,4
